Domain,Response Code,DNS Server,DNS Resolved Ips,DNS IP Response Codes,Traceroute to domain,Number of hops to domain,AARC DNS Ips,Optus DNS Ips,Google DNS Ips,Cloudflare DNS Ips,AARC DNS Response Codes,Optus DNS Response Codes,Google DNS Response Codes,Cloudflare DNS Response Codes,Domain Blockpage,AARC Blockpage,Optus Blockpage,Google Blockpage,Cloudflare Blockpage,Domain Cloudflare IP Blocked,AARC Cloudflare IP Blocked,Optus Cloudflare IP Blocked,Google Cloudflare IP Blocked,Cloudflare Cloudflare IP Blocked,Default DNS Block Page,Default DNS Cloudflare Block Page
"https://www.stockspot.com.au/","200","1.1.1.1","['13.210.224.193', '13.55.150.53', '3.25.13.159']","['HTTPSConnectionPool(host=\'13.210.224.193\'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch; certificate is not valid for \'13.210.224.193\'. (_ssl.c:1000)"")))', 'HTTPSConnectionPool(host=\'13.55.150.53\'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch; certificate is not valid for \'13.55.150.53\'. (_ssl.c:1000)"")))', 'HTTPSConnectionPool(host=\'3.25.13.159\'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch; certificate is not valid for \'3.25.13.159\'. (_ssl.c:1000)"")))']","['192.168.178.1', '203.129.20.1', '180.150.1.152', '10.241.13.76', '10.241.13.71', '15.230.210.62', '15.230.210.49', '15.230.210.144', '15.230.211.26', '3.25.13.159']","10","[]","[]","['3.25.13.159', '13.210.224.193', '13.55.150.53']","['3.25.13.159', '13.210.224.193', '13.55.150.53']","[]","[]","['HTTPSConnectionPool(host=\'3.25.13.159\'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch; certificate is not valid for \'3.25.13.159\'. (_ssl.c:1000)"")))', 'HTTPSConnectionPool(host=\'13.210.224.193\'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch; certificate is not valid for \'13.210.224.193\'. (_ssl.c:1000)"")))', 'HTTPSConnectionPool(host=\'13.55.150.53\'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch; certificate is not valid for \'13.55.150.53\'. (_ssl.c:1000)"")))']","['HTTPSConnectionPool(host=\'3.25.13.159\'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch; certificate is not valid for \'3.25.13.159\'. (_ssl.c:1000)"")))', 'HTTPSConnectionPool(host=\'13.210.224.193\'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch; certificate is not valid for \'13.210.224.193\'. (_ssl.c:1000)"")))', 'HTTPSConnectionPool(host=\'13.55.150.53\'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch; certificate is not valid for \'13.55.150.53\'. (_ssl.c:1000)"")))']","False","[]","[]","['False', 'False', 'False']","['False', 'False', 'False']","False","[]","[]","['False', 'False', 'False']","['False', 'False', 'False']","['False', 'False', 'False']","['False', 'False', 'False']"
"http://www.anime-sharing.com/","200","1.1.1.1","['104.21.2.88', '172.67.128.253']","[403, 403]","['192.168.178.1', '180.150.1.152', '10.241.13.76', '10.241.14.111', '159.196.252.104', '104.21.2.88', '203.129.20.1', '104.21.2.88']","8","[]","[]","['104.21.2.88', '172.67.128.253']","['104.21.2.88', '172.67.128.253']","[]","[]","[403, 403]","[403, 403]","False","[]","[]","['False', 'False']","['False', 'False']","False","[]","[]","['True', 'True']","['True', 'True']","['False', 'False']","['True', 'True']"
"https://www.imovies.cc","403","1.1.1.1","['104.21.2.164', '172.67.129.100']","[403, 403]","['192.168.178.1', '180.150.1.152', '10.241.14.111', '159.196.252.104', '172.67.129.100', '203.129.20.1', '172.67.129.100']","7","[]","[]","['172.67.129.100', '104.21.2.164']","['172.67.129.100', '104.21.2.164']","[]","[]","[403, 403]","[403, 403]","False","[]","[]","['False', 'False']","['False', 'False']","False","[]","[]","['True', 'True']","['True', 'True']","['False', 'False']","['True', 'True']"
"http://animereborn.io/","200","1.1.1.1","['103.224.212.211']","[200]","['192.168.178.1', '203.129.20.1', '180.150.1.198', '10.241.13.168', '154.54.25.149', '154.54.85.153', '154.24.7.226', '38.140.111.58', '154.24.35.54', '103.224.213.214', '103.224.212.211']","11","[]","[]","['103.224.212.211']","['103.224.212.211']","[]","[]","[200]","[200]","False","[]","[]","['False']","['False']","False","[]","[]","['False']","['False']","['False']","['False']"
"http://unblockproject.pw/","('Connection aborted.'; RemoteDisconnected('Remote end closed connection without response'))","1.1.1.1","['72.52.179.174']","[""('Connection aborted.'; RemoteDisconnected('Remote end closed connection without response'))""]","['192.168.178.1', '203.129.20.1', '180.150.1.152', '202.142.143.199', '209.59.157.223', '209.59.157.114', '4.14.100.86', '72.52.179.174']","8","[]","[]","['72.52.179.174']","['72.52.179.174']","[]","[]","[""('Connection aborted.'; RemoteDisconnected('Remote end closed connection without response'))""]","[""('Connection aborted.'; RemoteDisconnected('Remote end closed connection without response'))""]","N/A","[]","[]","['False']","['False']","N/A","[]","[]","['False']","['False']","['False']","['False']"
"https://animelon.com/","200","1.1.1.1","['104.21.78.122', '172.67.220.248']","[403, 403]","['192.168.178.1', '203.129.20.1', '180.150.1.198', '104.21.78.122', '159.196.252.106', '104.21.78.122']","6","[]","[]","['172.67.220.248', '104.21.78.122']","['104.21.78.122', '172.67.220.248']","[]","[]","[403, 403]","[403, 403]","False","[]","[]","['False', 'False']","['False', 'False']","False","[]","[]","['True', 'True']","['True', 'True']","['False', 'False']","['True', 'True']"
"https://getpopcorntime.is/","HTTPSConnectionPool(host='getpopcorntime.is'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLEOFError(8; '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1000)')))","1.1.1.1","['91.195.240.135']","[442]","['192.168.178.1', '203.129.20.1', '180.150.1.152', '10.241.13.80', '159.196.252.106', '10.241.16.153', '10.241.16.231', '10.241.16.165', '91.195.240.135']","9","[]","[]","['91.195.240.135']","['91.195.240.135']","[]","[]","[442]","[442]","N/A","[]","[]","['False']","['False']","N/A","[]","[]","['False']","['False']","['False']","['False']"
"https://animehd47.com/","HTTPSConnectionPool(host='animehd47.com'; port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001CFDC8C6F30>; 'Connection to animehd47.com timed out. (connect timeout=None)'))","1.1.1.1","['3.130.253.23', '3.130.204.160']","[404, 404]","['203.129.20.1', '180.150.1.198', '62.115.121.221', '3.130.253.23', '62.115.123.125', '3.130.253.23']","6","[]","[]","['18.119.154.66', '3.140.13.188']","['3.140.13.188', '18.119.154.66']","[]","[]","[404, 404]","[404, 404]","N/A","[]","[]","['False', 'False']","['False', 'False']","N/A","[]","[]","['False', 'False']","['False', 'False']","['False', 'False']","['False', 'False']"
"https://lookmovie.ag/","200","1.1.1.1","['45.134.173.163']","[200]","['192.168.178.1', '203.129.20.1', '10.241.13.71', '180.150.1.198', '10.241.13.168', '139.130.91.153', '203.54.217.110', '203.50.11.174', '8.245.6.70', '4.69.218.94', '103.31.184.6', '5.254.80.210', '10.101.100.11', '45.134.173.163', '5.254.80.82', '5.254.80.189', '45.134.173.163']","17","[]","[]","['45.134.173.163']","['45.134.173.163']","[]","[]","[200]","[200]","False","[]","[]","['False']","['False']","False","[]","[]","['False']","['False']","['False']","['False']"
"https://katcr.to/","200","1.1.1.1","['172.67.150.31', '104.21.96.9']","[403, 403]","['192.168.178.1', '203.129.20.1', '180.150.1.152', '10.241.13.76', '159.196.252.104', '10.241.14.111', '172.67.150.31']","7","[]","[]","['172.67.150.31', '104.21.96.9']","['104.21.96.9', '172.67.150.31']","[]","[]","[403, 403]","[403, 403]","False","[]","[]","['False', 'False']","['False', 'False']","False","[]","[]","['True', 'True']","['True', 'True']","['False', 'False']","['True', 'True']"
