"https://www.stockspot.com.au/","200","192.168.1.1","['13.55.150.53', '13.210.224.193', '3.25.13.159']","['HTTPSConnectionPool(host=\'13.55.150.53\'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch; certificate is not valid for \'13.55.150.53\'. (_ssl.c:1000)"")))', 'HTTPSConnectionPool(host=\'13.210.224.193\'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch; certificate is not valid for \'13.210.224.193\'. (_ssl.c:1000)"")))', 'HTTPSConnectionPool(host=\'3.25.13.159\'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch; certificate is not valid for \'3.25.13.159\'. (_ssl.c:1000)"")))']","['Permission denied: could not open /dev/bpf0. Make sure to be running Scapy as root ! (sudo)']","1","[]","[]","['13.210.224.193', '3.25.13.159', '13.55.150.53']","['13.55.150.53', '13.210.224.193', '3.25.13.159']","[]","[]","['HTTPSConnectionPool(host=\'13.210.224.193\'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch; certificate is not valid for \'13.210.224.193\'. (_ssl.c:1000)"")))', 'HTTPSConnectionPool(host=\'3.25.13.159\'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch; certificate is not valid for \'3.25.13.159\'. (_ssl.c:1000)"")))', 'HTTPSConnectionPool(host=\'13.55.150.53\'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch; certificate is not valid for \'13.55.150.53\'. (_ssl.c:1000)"")))']","['HTTPSConnectionPool(host=\'13.55.150.53\'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch; certificate is not valid for \'13.55.150.53\'. (_ssl.c:1000)"")))', 'HTTPSConnectionPool(host=\'13.210.224.193\'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch; certificate is not valid for \'13.210.224.193\'. (_ssl.c:1000)"")))', 'HTTPSConnectionPool(host=\'3.25.13.159\'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch; certificate is not valid for \'3.25.13.159\'. (_ssl.c:1000)"")))']","False","[]","[]","['False', 'False', 'False']","['False', 'False', 'False']","False","[]","[]","['False', 'False', 'False']","['False', 'False', 'False']","['False', 'False', 'False']","['False', 'False', 'False']"
"http://www.anime-sharing.com/","200","192.168.1.1","['172.67.128.253', '104.21.2.88']","[403, 403]","['Permission denied: could not open /dev/bpf0. Make sure to be running Scapy as root ! (sudo)']","1","[]","[]","['172.67.128.253', '104.21.2.88']","['104.21.2.88', '172.67.128.253']","[]","[]","[403, 403]","[403, 403]","False","[]","[]","['False', 'False']","['False', 'False']","False","[]","[]","['True', 'True']","['True', 'True']","['False', 'False']","['True', 'True']"
"https://www.imovies.cc","403","192.168.1.1","['172.67.129.100', '104.21.2.164']","[403, 403]","['Permission denied: could not open /dev/bpf0. Make sure to be running Scapy as root ! (sudo)']","1","[]","[]","['104.21.2.164', '172.67.129.100']","['104.21.2.164', '172.67.129.100']","[]","[]","[403, 403]","[403, 403]","False","[]","[]","['False', 'False']","['False', 'False']","False","[]","[]","['True', 'True']","['True', 'True']","['False', 'False']","['True', 'True']"
"http://animereborn.io/","200","192.168.1.1","['103.224.212.211']","[200]","['Permission denied: could not open /dev/bpf0. Make sure to be running Scapy as root ! (sudo)']","1","[]","[]","['103.224.212.211']","['103.224.212.211']","[]","[]","[200]","[200]","False","[]","[]","['False']","['False']","False","[]","[]","['False']","['False']","['False']","['False']"
"http://unblockproject.pw/","('Connection aborted.'; RemoteDisconnected('Remote end closed connection without response'))","192.168.1.1","['72.52.179.174']","[""('Connection aborted.'; RemoteDisconnected('Remote end closed connection without response'))""]","['Permission denied: could not open /dev/bpf0. Make sure to be running Scapy as root ! (sudo)']","1","[]","[]","['72.52.179.174']","['72.52.179.174']","[]","[]","[""('Connection aborted.'; RemoteDisconnected('Remote end closed connection without response'))""]","[""('Connection aborted.'; RemoteDisconnected('Remote end closed connection without response'))""]","N/A","[]","[]","['False']","['False']","N/A","[]","[]","['False']","['False']","['False']","['False']"
"https://animelon.com/","200","192.168.1.1","['172.67.220.248', '104.21.78.122']","[403, 403]","['Permission denied: could not open /dev/bpf0. Make sure to be running Scapy as root ! (sudo)']","1","[]","[]","['104.21.78.122', '172.67.220.248']","['104.21.78.122', '172.67.220.248']","[]","[]","[403, 403]","[403, 403]","False","[]","[]","['False', 'False']","['False', 'False']","False","[]","[]","['True', 'True']","['True', 'True']","['False', 'False']","['True', 'True']"
"https://getpopcorntime.is/","436","192.168.1.1","['91.195.240.135']","[403]","['Permission denied: could not open /dev/bpf0. Make sure to be running Scapy as root ! (sudo)']","1","[]","[]","['91.195.240.135']","['91.195.240.135']","[]","[]","[403]","[403]","False","[]","[]","['False']","['False']","False","[]","[]","['False']","['False']","['False']","['False']"
"https://animehd47.com/","HTTPSConnectionPool(host='animehd47.com'; port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x1185a6810>; 'Connection to animehd47.com timed out. (connect timeout=None)'))","192.168.1.1","['3.94.41.167', '52.86.6.113']","[404, 404]","['Permission denied: could not open /dev/bpf0. Make sure to be running Scapy as root ! (sudo)']","1","[]","[]","['52.86.6.113', '3.94.41.167']","['3.19.116.195', '3.18.7.81']","[]","[]","[404, 404]","[404, 404]","N/A","[]","[]","['False', 'False']","['False', 'False']","N/A","[]","[]","['False', 'False']","['False', 'False']","['False', 'False']","['False', 'False']"
"https://lookmovie.ag/","200","192.168.1.1","['45.134.173.163']","[200]","['Permission denied: could not open /dev/bpf0. Make sure to be running Scapy as root ! (sudo)']","1","[]","[]","['45.134.173.163']","['45.134.173.163']","[]","[]","[200]","[200]","False","[]","[]","['False']","['False']","False","[]","[]","['False']","['False']","['False']","['False']"
"https://katcr.to/","200","192.168.1.1","['104.21.96.9', '172.67.150.31']","[403, 403]","['Permission denied: could not open /dev/bpf0. Make sure to be running Scapy as root ! (sudo)']","1","[]","[]","['104.21.96.9', '172.67.150.31']","['172.67.150.31', '104.21.96.9']","[]","[]","[403, 403]","[403, 403]","False","[]","[]","['False', 'False']","['False', 'False']","False","[]","[]","['True', 'True']","['True', 'True']","['False', 'False']","['True', 'True']"
"http://nocensor.surf/","HTTPConnectionPool(host='nocensor.surf'; port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x107dd1b80>: Failed to resolve 'nocensor.surf' ([Errno 8] nodename nor servname provided; or not known)""))","192.168.1.1","['Errno8nodenamenorservnameprovided,ornotknown']","['HTTPConnectionPool(host=\'errno8nodenamenorservnameprovided;ornotknown\'; port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x107b82bd0>: Failed to resolve \'errno8nodenamenorservnameprovided;ornotknown\' ([Errno 8] nodename nor servname provided; or not known)""))']","['[Errno 8] nodename nor servname provided; or not known']","1","[]","[]","[]","[]","[]","[]","[]","[]","N/A","[]","[]","[]","[]","N/A","[]","[]","[]","[]","['False']","['False']"
